"id";"gruppe";"device";"session_code";"coder";"age";"gender";"MZP";"wm_score";"sleep_hours";"stress_rating"
161;"Kontrollgruppe";"Zuhause";"2/4";"EF";31;"f";"t1";33;6,5;4,9
161;"Kontrollgruppe";"Zuhause";"2/4";"EF";31;"f";"t2";25;7,5;5,7
162;"Kontrollgruppe";"Zuhause";"1/4";"EF";22;"f";"t1";24;5;2,8
162;"Kontrollgruppe";"Zuhause";"1/4";"EF";22;"f";"t2";25;NA;3,4
163;"Kontrollgruppe";"Zuhause";"2/4";"AB";26;"m";"t1";30;6,7;NA
163;"Kontrollgruppe";"Zuhause";"2/4";"AB";26;"m";"t2";29;7,2;5,4
164;NA;"Zuhause";"3/4";"EF";28;"f";"t1";36;7,3;8,5
164;NA;"Zuhause";"3/4";"EF";28;"f";"t2";NA;7,5;9,9
165;NA;NA;"2/4";"CD";31;"f";"t1";37;5,8;5,1
165;NA;NA;"2/4";"CD";31;"f";"t2";30;7,6;4,6
166;"Kontrollgruppe";"Zuhause";"1/4";"CD";31;"f";"t1";26;7,9;2,5
166;"Kontrollgruppe";"Zuhause";"1/4";"CD";31;"f";"t2";23;7,1;2,7
167;"Kontrollgruppe";"Lab";"2/4";"CD";21;"f";"t1";35;5,8;3,5
167;"Kontrollgruppe";"Lab";"2/4";"CD";21;"f";"t2";30;5,2;3,7
168;"Kontrollgruppe";"Zuhause";"1/4";"EF";35;"f";"t1";28;7,6;3,2
168;"Kontrollgruppe";"Zuhause";"1/4";"EF";35;"f";"t2";28;7,5;2,8
169;"Kontrollgruppe";"Zuhause";"3/4";"EF";18;"f";"t1";30;9,2;4,2
169;"Kontrollgruppe";"Zuhause";"3/4";"EF";18;"f";"t2";NA;7,9;5,3
170;"Stress";"Lab";"4/4";"EF";34;"m";"t1";30;7,3;6,2
170;"Stress";"Lab";"4/4";"EF";34;"m";"t2";28;7;9,1
171;"Stress";NA;"2/4";"AB";19;"m";"t1";30;6,5;6,5
171;"Stress";NA;"2/4";"AB";19;"m";"t2";27;NA;8,3
172;"Stress";NA;"2/4";"CD";33;"m";"t1";29;6,1;4,6
172;"Stress";NA;"2/4";"CD";33;"m";"t2";25;5,3;6,5
173;"Kontrollgruppe";"Zuhause";"1/4";"CD";20;"f";"t1";33;10,5;NA
173;"Kontrollgruppe";"Zuhause";"1/4";"CD";20;"f";"t2";25;9;4,3
174;"Stress";"Lab";"2/4";"CD";34;"f";"t1";31;8,7;6,2
174;"Stress";"Lab";"2/4";"CD";34;"f";"t2";27;7,6;10
175;NA;"Zuhause";"2/4";"AB";30;"m";"t1";16;5,6;3,2
175;NA;"Zuhause";"2/4";"AB";30;"m";"t2";NA;NA;6
176;"Kontrollgruppe";"Lab";"3/4";"EF";34;"f";"t1";26;4,5;5,2
176;"Kontrollgruppe";"Lab";"3/4";"EF";34;"f";"t2";29;5,4;5,2
177;"Kontrollgruppe";"Zuhause";"4/4";"CD";33;"f";"t1";29;5,9;4,1
177;"Kontrollgruppe";"Zuhause";"4/4";"CD";33;"f";"t2";29;6,5;3,5
178;"Kontrollgruppe";"Zuhause";"4/4";"AB";35;"f";"t1";26;5,9;6,8
178;"Kontrollgruppe";"Zuhause";"4/4";"AB";35;"f";"t2";30;8;5,1
179;"Kontrollgruppe";"Zuhause";"4/4";"AB";27;"div";"t1";29;6,4;3,9
179;"Kontrollgruppe";"Zuhause";"4/4";"AB";27;"div";"t2";31;7,5;4,7
180;"Kontrollgruppe";"Zuhause";"4/4";"CD";23;"div";"t1";33;6,4;4,8
180;"Kontrollgruppe";"Zuhause";"4/4";"CD";23;"div";"t2";35;NA;3,4
181;NA;"Lab";"1/4";"AB";31;"m";"t1";32;7,2;2,1
181;NA;"Lab";"1/4";"AB";31;"m";"t2";25;6,8;2,5
182;"Stress";"Zuhause";"2/4";"EF";25;"f";"t1";29;7,7;4,4
182;"Stress";"Zuhause";"2/4";"EF";25;"f";"t2";20;6,7;8
183;"Stress";"Zuhause";"1/4";"AB";30;"f";"t1";27;7,4;4
183;"Stress";"Zuhause";"1/4";"AB";30;"f";"t2";22;7,3;5,3
184;"Stress";"Lab";"4/4";"AB";31;"f";"t1";39;NA;5,6
184;"Stress";"Lab";"4/4";"AB";31;"f";"t2";28;7,2;6,8
185;"Kontrollgruppe";"Lab";"3/4";"CD";32;"na";"t1";20;6,2;6,7
185;"Kontrollgruppe";"Lab";"3/4";"CD";32;"na";"t2";22;6,5;6,7
186;"Stress";"Lab";"1/4";"CD";32;"f";"t1";32;7,6;7,2
186;"Stress";"Lab";"1/4";"CD";32;"f";"t2";NA;6,9;9,1
187;"Stress";"Zuhause";"2/4";"EF";22;"f";"t1";32;4,7;5,5
187;"Stress";"Zuhause";"2/4";"EF";22;"f";"t2";27;5;8
188;"Kontrollgruppe";"Zuhause";"4/4";"EF";21;"f";"t1";25;6,7;4,9
188;"Kontrollgruppe";"Zuhause";"4/4";"EF";21;"f";"t2";21;4,7;4,8
